"Region","Country","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"SDG: Northern Africa and Western Asia","Georgia","3.17","3.59","3.57","3.52","3.87","3.85","3.64","3.81",""
"SDG: Northern Africa and Western Asia","Israel","5.80","5.80","6.01","6.06","6.06","6.46","6.60","6.46",""
"SDG: Northern Africa and Western Asia","Jordan","","3.45","3.21","2.95","2.99","","3.22","3.24",""
"SDG: Northern Africa and Western Asia","Lebanon","","2.13","2.14","2.53","2.60","1.67","","",""
"SDG: Northern Africa and Western Asia","Morocco","5.13","5.08","4.74","4.96","5.00","6.29","5.60","5.77",""
"SDG: Northern Africa and Western Asia","Oman","","","6.00","4.59","5.06","6.88","","4.20",""
"SDG: Northern Africa and Western Asia","Palestine","4.66","4.98","4.72","","","","5.43","",""
"SDG: Northern Africa and Western Asia","Qatar","","","2.97","","2.80","3.23","","",""
"SDG: Northern Africa and Western Asia","Tunisia","6.22","","","","","","","",""
"SDG: Northern Africa and Western Asia","Türkiye","4.32","4.63","4.32","4.30","4.45","4.01","2.85","2.62",""
"SDG: Northern Africa and Western Asia","United Arab Emirates","","","","","3.86","3.98","3.90","",""
"SDG: Oceania","Australia","5.32","5.29","5.14","5.12","5.13","5.61","5.73","5.21",""
"SDG: Oceania","Cook Islands","3.86","4.36","2.92","4.02","3.50","3.66","4.59","4.50",""
"SDG: Oceania","Fiji","4.81","4.84","4.88","5.04","5.12","5.75","5.97","",""
"SDG: Oceania","Kiribati","12.11","13.48","13.57","15.38","13.77","","14.20","16.58",""
"SDG: Oceania","Marshall Islands","","","","","9.92","","","6.98",""
"SDG: Oceania","Micronesia (Federated States of)","13.65","13.51","12.42","9.70","10.23","10.54","","",""
"SDG: Oceania","Nauru","6.71","6.67","6.79","5.89","6.22","6.48","6.52","8.33","6.19"
"SDG: Oceania","New Zealand","5.71","5.51","5.28","5.19","5.17","5.65","5.54","5.51",""
"SDG: Oceania","Papua New Guinea","","","1.96","1.87","","","","",""
"SDG: Oceania","Samoa","4.62","4.35","3.96","4.26","4.40","4.48","","",""
"SDG: Oceania","Tonga","","","5.06","4.97","5.27","4.86","4.93","5.65",""
"SDG: Oceania","Vanuatu","5.60","","4.53","","1.77","2.17","","",""
"SDG: Sub-Saharan Africa","Angola","3.10","2.75","2.47","2.04","2.07","2.75","2.30","2.33",""
"SDG: Sub-Saharan Africa","Benin","3.17","2.90","3.54","2.93","3.00","2.94","3.19","3.21",""
"SDG: Sub-Saharan Africa","Botswana","8.39","8.74","7.81","7.91","8.40","8.06","","",""
"SDG: Sub-Saharan Africa","Burkina Faso","3.67","","5.63","5.49","5.41","5.15","5.22","5.28",""
"SDG: Sub-Saharan Africa","Burundi","6.37","4.69","4.76","5.08","5.35","5.32","4.87","4.82",""
"SDG: Sub-Saharan Africa","Cabo Verde","4.81","4.75","4.59","4.79","4.14","","6.04","",""
"SDG: Sub-Saharan Africa","Cameroon","2.66","2.56","3.06","3.03","3.05","3.10","2.83","2.62",""
"SDG: Sub-Saharan Africa","Central African Republic","1.91","1.75","1.75","1.57","1.77","2.15","1.87","2.12",""
"SDG: Sub-Saharan Africa","Chad","2.34","2.39","2.45","2.26","2.37","2.74","2.89","2.54",""
"SDG: Sub-Saharan Africa","Comoros","2.55","","","","","2.38","2.27","2.43",""
"SDG: Sub-Saharan Africa","Congo","3.28","","4.45","3.00","3.56","4.62","3.67","2.95",""
"SDG: Sub-Saharan Africa","Côte d'Ivoire","3.49","3.94","3.74","3.21","3.44","3.79","3.37","3.52",""
"SDG: Sub-Saharan Africa","Democratic Republic of the Congo","2.17","2.12","1.45","","","2.62","2.66","3.00",""
"SDG: Sub-Saharan Africa","Djibouti","3.60","3.92","3.73","3.75","","","","",""
