"Region","Country","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"SDG: Sub-Saharan Africa","Côte d'Ivoire","3.25","2.87","3.43","3.46","3.31","3.49","3.94","3.74","3.21","3.44","3.79","3.37","3.52",""
"SDG: Sub-Saharan Africa","Democratic Republic of the Congo","1.52","","","2.06","1.95","2.17","2.12","1.45","","","2.62","2.66","3.00",""
"SDG: Sub-Saharan Africa","Djibouti","4.49","","6.35","4.65","4.38","3.60","3.92","3.73","3.75","","","","",""
"SDG: Sub-Saharan Africa","Eswatini","6.12","6.86","5.59","5.08","7.07","5.36","5.43","6.18","5.74","5.70","5.36","5.29","5.69","6.31"
"SDG: Sub-Saharan Africa","Ethiopia","4.50","5.49","5.57","4.50","4.60","5.15","5.06","5.50","5.22","4.48","4.09","4.07","3.74",""
"SDG: Sub-Saharan Africa","Gabon","3.08","2.99","3.01","3.03","2.67","2.82","2.67","3.56","3.07","2.87","3.40","2.70","2.21",""
"SDG: Sub-Saharan Africa","Gambia","2.56","2.50","2.64","1.82","2.23","2.16","2.02","2.46","2.37","2.65","2.89","2.94","2.73",""
"SDG: Sub-Saharan Africa","Ghana","5.54","8.14","7.92","4.58","4.40","4.43","4.39","3.53","3.89","3.15","3.41","3.42","2.90",""
"SDG: Sub-Saharan Africa","Guinea","2.55","2.29","1.83","2.63","2.42","2.52","2.54","2.32","2.38","1.86","2.43","2.04","1.99",""
"SDG: Sub-Saharan Africa","Guinea-Bissau","1.86","1.86","2.00","2.13","","","","","","","","","",""
"SDG: Sub-Saharan Africa","Kenya","4.82","4.70","4.93","4.84","4.72","4.74","4.90","4.96","5.11","","4.63","","",""
"SDG: Sub-Saharan Africa","Lesotho","","8.17","7.67","7.29","7.20","8.69","7.80","8.16","7.28","7.19","7.00","7.51","6.43","6.69"
"SDG: Sub-Saharan Africa","Liberia","","","1.78","1.69","2.20","2.12","2.12","2.66","2.50","2.49","2.14","2.53","2.60","2.42"
"SDG: Sub-Saharan Africa","Madagascar","2.58","2.38","2.34","1.78","2.38","2.21","2.69","2.70","2.84","3.01","3.25","3.20","3.14",""
"SDG: Sub-Saharan Africa","Malawi","2.43","2.85","2.53","3.72","3.33","3.85","3.28","2.77","3.32","","","","",""
"SDG: Sub-Saharan Africa","Mali","3.34","3.75","3.48","3.28","3.65","3.80","3.09","3.79","3.56","3.56","3.95","4.36","4.04",""
"SDG: Sub-Saharan Africa","Mauritania","","2.33","2.16","2.29","2.56","2.83","1.94","","","1.78","1.77","1.75","2.29",""
"SDG: Sub-Saharan Africa","Mauritius","3.55","3.33","3.42","3.57","4.82","4.76","4.88","4.88","4.67","4.54","4.35","4.67","4.84","3.64"
"SDG: Sub-Saharan Africa","Mozambique","5.39","5.62","5.67","6.12","6.49","6.01","5.87","5.51","5.45","6.29","6.64","7.03","",""
"SDG: Sub-Saharan Africa","Namibia","8.24","8.02","9.08","8.60","8.99","9.53","10.31","9.71","9.62","9.32","9.28","10.03","9.68","9.04"
"SDG: Sub-Saharan Africa","Niger","2.72","3.08","3.19","3.69","5.10","4.49","2.96","2.58","3.46","3.53","3.82","3.82","4.10",""
"SDG: Sub-Saharan Africa","Rwanda","4.63","4.38","4.42","4.74","4.20","3.65","3.43","3.12","3.07","3.24","3.33","5.59","4.75","4.14"
"SDG: Sub-Saharan Africa","Sao Tome and Principe","9.65","","6.34","5.94","3.75","3.86","5.17","5.04","5.24","5.90","5.01","5.52","5.16",""
"SDG: Sub-Saharan Africa","Senegal","5.22","4.90","4.78","5.69","5.72","5.46","5.11","4.62","4.86","5.45","5.69","5.59","5.64",""
"SDG: Sub-Saharan Africa","Seychelles","3.55","3.63","2.54","3.62","3.95","5.06","4.32","4.24","4.04","4.05","4.89","5.62","4.74",""
"SDG: Sub-Saharan Africa","Sierra Leone","2.59","2.68","2.88","2.38","2.66","3.22","2.91","4.66","6.99","7.45","8.81","9.44","8.81",""
"SDG: Sub-Saharan Africa","Somalia","","","","","","","","0.13","0.23","0.27","","","",""
"SDG: Sub-Saharan Africa","South Africa","5.13","5.29","5.52","5.35","5.49","5.48","5.44","5.60","5.64","5.93","6.18","6.56","6.18","6.60"
"SDG: Sub-Saharan Africa","South Sudan","","0.96","","1.02","1.23","1.47","","","","","","","",""
"SDG: Sub-Saharan Africa","Togo","3.01","3.17","3.47","3.26","3.52","3.76","3.69","3.76","4.09","4.20","4.09","4.23","3.80",""
"SDG: Sub-Saharan Africa","Uganda","1.73","2.30","1.80","1.87","1.91","2.32","2.14","2.25","2.13","2.31","2.57","2.64","2.56","2.55"
"SDG: Sub-Saharan Africa","United Republic of Tanzania","4.54","4.58","4.23","4.64","3.38","4.20","4.10","4.43","3.70","3.60","3.23","3.12","3.24","3.26"
"SDG: Sub-Saharan Africa","Zambia","3.42","3.36","3.69","3.72","","4.62","3.75","3.73","4.74","4.42","3.95","3.11","3.58",""
"SDG: Sub-Saharan Africa","Zimbabwe","1.54","5.08","6.07","6.00","6.14","5.81","5.47","5.82","2.05","","","","",""
"Data for indicator ' Government expenditure on education as a percentage of GDP (%) '. Values '0' can be either NIL or NOT APPLICABLE for the submitting nation. Please download the METADATA for precision","","","","","","","","","","","","","","",""
